# AUTO-BENCH v1 F6 novelty-stream (H1, the ratchet curve) - per-position log.
# REAL leg: session bench-f6, cap 1.00 USD, tier-0 frontier:gpt-5.4-mini, ledger ~/.auto/spend.jsonl
# stream=evals\bench\f6-stream\stream.jsonl K=8 guard_alpha_milli=100
# tier: bootstrap-record = paid recording via evals/ticket-triage/agent.py (no artifact yet);
#       tier1 = guard proceed, compiled answer, marginal cost 0; tier0-deopt = guard trip, paid
#       frontier answer ingested into the store (the ratchet); abstain/error = honest failures.
# cost_usd_micros: bootstrap = reserved span attr from the store; tier0-deopt = spend-ledger
# delta for this session; tier1 = 0. latency_ms: bootstrap = recorded span duration (real API
# latency); tier0-deopt = the runtime's measured tier-0 wall time; tier1 = one-shot `auto run`
# wall time (process spawn + wasm compile included - the honest one-shot number; see README).
pos,category,text_sha12,distinct_seen,tier,guard_distance,latency_ms,cost_usd_micros,artifact_generation
244,billing,f08ef09a72b6,12,tier1,0.0000,69,0,1
245,billing-fraud,88f99b8bf7e9,12,tier1,0.9054,67,0,1
246,billing,cfb98f978d8b,12,tier1,0.8690,69,0,1
247,feature,68948e3c77c8,12,tier1,0.8936,284,0,1
248,bug,ce3ad56c2cf2,12,tier1,0.0000,67,0,1
249,billing-fraud,3e24fdaa2019,12,tier1,0.9041,69,0,1
250,billing-fraud,efcfd0ceae7e,12,tier1,0.8940,69,0,1
251,billing,793f8e241429,12,tier1,0.0000,315,0,1
252,feature,16311abe6402,12,tier1,0.8592,68,0,1
253,onboarding,ac28bf167850,12,tier1,0.9161,67,0,1
254,billing-fraud,cc8b30748245,12,tier1,0.9156,285,0,1
255,security,5415248e02e2,12,tier1,0.9185,65,0,1
256,bug,c95d2df9836c,12,tier1,0.0000,61,0,1
257,billing,793f8e241429,12,tier1,0.0000,277,0,1
258,billing,cfb98f978d8b,12,tier1,0.8690,69,0,1
259,security,9c474aa4438c,12,tier1,0.8896,300,0,1
260,security,9c474aa4438c,12,tier1,0.8896,307,0,1
261,security,4ee6f6ed7ed0,12,tier1,0.9045,313,0,1
262,security,45bab5f6ed00,12,tier0-deopt,0.9286,1450,329,1
263,feature,596a467f9df0,12,tier1,0.0000,67,0,1
264,feature,16311abe6402,12,tier1,0.8592,68,0,1
265,security,9c474aa4438c,12,tier1,0.8896,350,0,1
266,onboarding,a0ba6e191d3a,12,tier1,0.9098,64,0,1
267,billing-fraud,f53c48b0f77c,12,tier1,0.9042,69,0,1
268,billing-fraud,f53c48b0f77c,12,tier1,0.9042,69,0,1
269,feature,68948e3c77c8,12,tier1,0.8936,288,0,1
270,onboarding,98d321080eb1,12,tier1,0.9062,72,0,1
271,billing,3f283840eeb8,12,tier1,0.7901,361,0,1
272,security,9c474aa4438c,12,tier1,0.8896,65,0,1
273,security,f1e66211864a,12,tier1,0.8814,290,0,1
274,security,9c474aa4438c,12,tier1,0.8896,293,0,1
275,bug,7c55b12b6d40,12,tier1,0.8551,308,0,1
276,billing-fraud,efcfd0ceae7e,12,tier1,0.8940,281,0,1
277,onboarding,8667e6330646,12,tier1,0.8671,258,0,1
278,billing-fraud,a8c1171b068d,12,tier1,0.9180,265,0,1
279,security,4f493401f33b,12,tier1,0.8988,539,0,1
280,feature,1b3eb767452a,12,tier1,0.8897,275,0,1
281,bug,21e6c02f0cf9,12,tier1,0.0000,539,0,1
282,feature,1b3eb767452a,12,tier1,0.8897,522,0,1
283,feature,596a467f9df0,12,tier1,0.0000,843,0,1
284,bug,c95d2df9836c,12,tier1,0.0000,516,0,1
285,security,5415248e02e2,12,tier1,0.9185,1009,0,1
286,billing-fraud,88f99b8bf7e9,12,tier1,0.9054,519,0,1
